NHx-deposition	mg N/m2/year		im = 72		jm = 48		year2050			
	39.37	41.88	64.74	280.72	83.06	140.81	320.52	317.29	188.08	495.93
	336.91	367.23	329.59	317.56	298.06	263.2	99.5	86.51	61.91	49.62
	52.63	69.13	47.99	25.33	20.02	18.75	30.78	43.87	30.04	23.31
	12.08	12.61	18.91	24.71	20.52	23.65	17.23	24.3	29.16	34.12
	21.49	14.32	16.33	14.56	3.86	4.66	12.93	12.62	8.81	12.73
	14.89	1	-8.1	2.27	3.22	5.36	6.74	8.49	15.86	15.03
	10.47	7.97	5.02	8.05	17.95	30.38	10.77	5.97	35.86	30.46
	39.65	41	36.27	35.88	35.48	41.31	50.68	69.65	43.69	55.99
	212.73	100.26	57.43	93.79	156.64	76.78	47.96	56.97	33.32	83.85
	40.54	29.41	17.33	16.98	16.88	10	12.4	9.23	10.23	8.68
	21.42	65.88	60.46	19.11	9.61	7.6	8.49	11.81	15.92	10.55
	9.8	11.95	7.39	7.87	13.45	10.13	4.56	7.46	5.82	7.75
	9.07	5.07	-0.48	-1.93	1.14	2.57	4.65	9.85	8.07	6.17
	8.79	4.25	5.55	5.48	3.45	3.78	8.6	9.21	4.73	2.91
	15.04	17.32	31.11	28.69	17.28	24.45	19.48	23.55	34.56	41.37
	41.17	28.93	39.19	30.02	17.9	25.97	30.83	39.99	28.67	25.96
	26.95	30.16	28.07	18.21	16.85	16.84	20.48	20.76	13.93	9.69
	9.07	10.02	23.3	24.1	6.81	7.45	4.31	0.61	0.52	2.31
	7.98	7.31	6.43	5.84	8.04	13.05	14.44	8.2	4.43	5.54
	6.07	7.27	8.02	9.8	8.27	7.6	5.33	4.72	4.81	5.59
	6.25	3.49	5.74	2.85	3.68	4.84	3.75	5.46	6.21	5.29
	3.43	2.59	1.71	2.2	2.83	3.9	12.95	16.73	18.97	24.78
	30.39	33.34	37.5	43.7	33.66	22.76	40.02	47.7	44.54	43.59
	35.78	28.86	31.92	29.73	17.27	21.63	19.33	13.82	9.6	8.64
	6.92	8.56	5.32	4.16	6.67	9.03	5.85	4.65	2.23	2.56
	3.17	3.23	5.59	5.79	6.15	5.56	6.71	8.18	8.62	6.81
	5.28	6.25	6.45	7.49	8.6	9.82	8.49	7.17	4.23	2.95
	2.72	2.83	2.09	2.05	2.66	2.08	3.6	4.12	3.95	5.13
	5.57	2.81	2.43	1.58	1.34	1.53	2.01	2.22	7.65	12.68
	18.65	23.03	29.94	35.42	38.5	36.73	27.99	35.81	44.2	40.9
	41.32	45.75	34.58	15.58	13.48	17.45	13.49	14.73	11.28	9.4
	5.65	5.36	5.97	5.49	5.01	5.62	7.17	6.48	6.38	5.83
	3.56	6.17	4.21	6.6	5.98	6.32	6.86	5.41	4.2	4.35
	4.17	4.13	4.54	4.45	4.25	4.8	5.57	6.06	5.67	4.96
	4.2	3.65	3.38	3.61	3.14	1.71	1.36	1.24	1.82	2.06
	1.41	1.47	1.53	1.69	1.39	1.04	1.02	1.16	1.56	1.67
	2.88	4.9	7.76	12.03	20.93	23.05	21.58	10.07	9.08	10.64
	14.05	16.32	16.74	17.23	17.98	15.75	10.56	9.89	9.04	8.92
	8.13	9.16	5.66	4.65	3.92	4.08	4.76	4.06	3.96	6
	6.16	6.9	5.46	4.75	6.45	6.68	6.08	3.66	4.07	4.62
	3.39	3.34	3.66	3.51	3.95	4.31	4	4.01	4.18	4.07
	4.27	4.57	5.01	5.96	5.91	6.01	5.55	4.25	3.35	2
	1.54	1.13	1.29	0.96	1.07	1.92	1.71	1.09	1.06	1.25
	1.23	1.91	1.98	3.86	5.01	5.51	6.34	8.79	9	5.96
	5.4	8.05	9.65	11.47	11.64	10.4	9.34	8.24	6.97	7.09
	7.21	6.18	6.49	6.31	5.19	3.53	4.66	3.91	4.67	4.64
	4.37	3.75	3.77	4.48	5.95	5.66	5.17	4.45	4.59	4.78
