NOy-deposition	mg N/m2/year		im = 72		jm = 48		year2050			
	189.91	137.17	230.33	262.14	321.09	389.19	630.05	1092.66	429.37	1356
	585.34	146.52	165.34	118.79	386.9	569.62	130.34	112.25	84.76	142.38
	515.55	1231.31	1659.29	2218.51	1597.93	817.96	831.92	775.39	487.39	327.63
	235.18	174.82	157.93	139.69	121.68	104.05	131.7	116.96	103.55	100.61
	96.95	96.13	83.39	78.33	75.47	68.46	78.54	285.87	309.49	165.35
	196.81	308.88	599.36	723.03	967.6	1029.71	1006.14	854.55	573.67	394.54
	277.77	213.55	181.43	181.41	250.91	170.44	135.04	141.44	169.29	380
	551.75	541.66	690.25	592.34	519.58	480.5	399.98	514.7	699.2	918.38
	911.35	952.81	849.93	245.17	235.49	245.14	298.26	194.23	74.76	61.95
	82.95	93.69	345.51	555.13	1080.31	2183.81	1232.37	1832.08	992.99	865.98
	1008.82	516.81	328.03	266.16	211.78	181.51	158.9	141.44	155.91	131.8
	111.43	112.45	112.08	103.69	100.34	95.9	101.59	102.35	94.25	169.78
	115.19	143.31	239.69	364.96	502.83	843.7	1351.27	1376.42	1254.7	1808.12
	753.89	528.15	455.89	355.34	254.35	231.83	211.91	307.05	257.93	266.79
	316.85	332.73	715.88	530.55	421	437.37	509.65	583.98	382.67	835.49
	820.17	497.44	609.76	694.94	316.58	127.9	147	338.88	415.57	172.69
	93.29	71.85	63.37	146.09	116.18	159.76	421.41	1528.56	1144.44	1534.92
	663.5	354.28	414.47	333.42	342.16	289.2	228.95	204.61	184.3	167.88
	137.08	110.27	101.29	92.13	104.71	119.09	118.36	110.81	94.59	82.62
	80.43	223.24	133.6	114.03	152.05	223.24	336.6	740.35	744.85	774.01
	926.23	1103.2	675.95	635.29	539.46	474.33	367.63	472.01	408.17	364.08
	363.71	383.66	310.79	278.3	688.75	483.18	583.57	738.03	921.91	623.44
	479.59	603.22	454.85	399.3	497.74	371.15	207.89	105.63	137.67	107.56
	147.45	197.53	186.49	208.24	85.75	76.3	74.14	81.75	97.34	219.36
	545.46	1071.72	739.06	263.04	352.32	224.58	217.4	217.85	205.36	189.37
	174.46	139.35	121.9	107.64	118.58	110.64	110.58	83.29	80.46	75.3
	73.97	72.2	80.76	290.61	203.34	134.77	132.46	174.73	272.63	309.3
	261.65	276.7	292.59	408.82	355.34	241.94	250.13	235.95	328.24	383.65
	512.08	518.44	481.31	359.58	322.1	408.29	567.23	850.75	1094.3	1044.9
	952.52	726.53	604.68	640.14	706.68	734.26	550.2	336.43	225.28	165.83
	147.47	127.42	139.96	124.1	132.66	135.33	107.1	112.5	104.24	140.23
	107.2	96.44	320.79	657.46	581.28	261.02	162.42	125	166.54	142.03
	138.73	128.79	114.04	122.96	73.06	67.48	80.95	82.79	71.44	63.79
	64.19	66.64	67.31	75.27	86.53	117.25	114.78	186.68	162.76	176.07
	159.52	127.42	108.39	102.01	124.83	147.71	124.33	129.29	119.46	116.4
	181.14	229.37	236.22	246.61	262.14	359.87	391.27	389.96	562.41	983.55
	1328.24	1677.9	1293.9	909.16	771.15	667.67	671.09	652.1	511.04	384.3
